datetime,game,result,jackpot,winners,latest
2021-10-19T21:00,5,16-32-50-22-28-35,203160211.20,0,true
2021-10-19T21:00,7,43-32-39-31-34-13,87368680.60,0,true
2021-10-19T21:00,1,26-25-28-39-16-32,25997244.40,0,true
2021-10-19T21:00,9,8-4-9-3-0-0,3516951.84,0,true
2021-10-19T14:00,11,4-8-4,4500.00,82,true
2021-10-19T17:00,11,5-2-3,4500.00,245,true
2021-10-19T21:00,11,7-8-7,4500.00,145,true
2021-10-19T14:00,12,03-29,4000.00,253,true
2021-10-19T17:00,12,30-14,4000.00,61,true
2021-10-19T21:00,12,12-30,4000.00,349,true
2021-10-18T21:00,8,21-02-18-10-01-15,64926006.00,0,false
2021-10-18T21:00,6,24-28-40-29-05-21,21227807.60,0,false
2021-10-18T21:00,10,2-9-7-6,40227.00,16,false
2021-10-18T14:00,11,8-3-5,4500.00,272,false
2021-10-18T17:00,11,9-8-5,4500.00,123,false
2021-10-18T21:00,11,8-6-5,4500.00,345,false
2021-10-18T14:00,12,03-13,4000.00,263,false
2021-10-18T17:00,12,19-12,4000.00,222,false
2021-10-18T21:00,12,06-16,4000.00,270,false
2021-10-17T21:00,5,02-13-04-37-18-48,195992329.60,0,false
2021-10-17T21:00,7,15-38-37-25-07-43,83406406.40,0,false
2021-10-17T14:00,11,0-3-0,4500.00,146,false
2021-10-17T17:00,11,5-3-1,4500.00,270,false
2021-10-17T21:00,11,4-1-4,4500.00,541,false
2021-10-17T14:00,12,19-30,4000.00,200,false
2021-10-17T17:00,12,07-08,4000.00,129,false
2021-10-17T21:00,12,04-18,4000.00,550,false
2021-10-16T21:00,8,33-21-24-52-54-38,61163628.80,0,false
2021-10-16T21:00,1,03-15-11-25-22-16,22834039.60,0,false
2021-10-16T21:00,9,9-2-2-1-3-1,2988357.54,0,false
2021-10-16T14:00,11,9-3-5,4500.00,156,false
2021-10-16T17:00,11,7-9-4,4500.00,85,false
2021-10-16T21:00,11,3-4-1,4500.00,224,false
2021-10-16T14:00,12,30-26,4000.00,65,false
2021-10-16T17:00,12,21-28,4000.00,197,false
2021-10-16T21:00,12,25-14,4000.00,88,false
2021-10-15T21:00,5,37-03-35-02-42-44,188917798.40,0,false
2021-10-15T21:00,6,13-21-37-23-44-25,17871967.60,0,false
2021-10-15T21:00,10,8-7-0-1,39408.00,15,false
2021-10-15T14:00,11,1-6-4,4500.00,335,false
2021-10-15T17:00,11,4-8-4,4500.00,142,false
2021-10-15T21:00,11,8-8-5,4500.00,220,false
2021-10-15T14:00,12,07-14,4000.00,284,false
2021-10-15T17:00,12,05-25,4000.00,265,false
2021-10-15T21:00,12,29-31,4000.00,139,false
2021-10-14T21:00,7,43-08-48-18-49-47,78974193.00,0,false
2021-10-14T21:00,1,23-25-15-03-16-32,19396737.20,0,false
2021-10-14T21:00,9,7-5-3-0-9-3,2938357.54,0,false
2021-10-14T14:00,11,0-7-4,4500.00,105,false
2021-10-14T17:00,11,3-1-1,4500.00,292,false
2021-10-14T21:00,11,8-1-3,4500.00,528,false
2021-10-14T14:00,12,19-20,4000.00,184,false
2021-10-14T17:00,12,30-02,4000.00,33,false
2021-10-14T21:00,12,05-12,4000.00,635,false
2021-10-14T21:00,7,43-08-48-18-49-47,78974193.00,0,false
2021-10-14T21:00,1,23-25-15-03-16-32,19396737.20,0,false
