game,result,datetime,jackpot,winners,latest
8,21-02-18-10-01-15,2021-10-18T21:00,64926006.00,0,true
6,24-28-40-29-05-21,2021-10-18T21:00,21227807.60,0,true
10,2-9-7-6,2021-10-18T21:00,40227.00,16,true
11,8-3-5,2021-10-18T14:00,4500.00,272,true
11,9-8-5,2021-10-18T17:00,4500.00,123,true
11,8-6-5,2021-10-18T21:00,4500.00,345,true
12,03-13,2021-10-18T14:00,4000.00,263,true
12,19-12,2021-10-18T17:00,4000.00,222,true
12,06-16,2021-10-18T21:00,4000.00,270,true
5,02-13-04-37-18-48,2021-10-17T21:00,195992329.60,0,false
7,15-38-37-25-07-43,2021-10-17T21:00,83406406.40,0,false
11,0-3-0,2021-10-17T14:00,4500.00,146,false
11,5-3-1,2021-10-17T17:00,4500.00,270,false
11,4-1-4,2021-10-17T21:00,4500.00,541,false
12,19-30,2021-10-17T14:00,4000.00,200,false
12,07-08,2021-10-17T17:00,4000.00,129,false
12,04-18,2021-10-17T21:00,4000.00,550,false
8,33-21-24-52-54-38,2021-10-16T21:00,61163628.80,0,false
1,03-15-11-25-22-16,2021-10-16T21:00,22834039.60,0,false
9,9-2-2-1-3-1,2021-10-16T21:00,2988357.54,0,false
11,9-3-5,2021-10-16T14:00,4500.00,156,false
11,7-9-4,2021-10-16T17:00,4500.00,85,false
11,3-4-1,2021-10-16T21:00,4500.00,224,false
12,30-26,2021-10-16T14:00,4000.00,65,false
12,21-28,2021-10-16T17:00,4000.00,197,false
12,25-14,2021-10-16T21:00,4000.00,88,false
5,37-03-35-02-42-44,2021-10-15T21:00,188917798.40,0,false
6,13-21-37-23-44-25,2021-10-15T21:00,17871967.60,0,false
10,8-7-0-1,2021-10-15T21:00,39408.00,15,false
11,1-6-4,2021-10-15T14:00,4500.00,335,false
11,4-8-4,2021-10-15T17:00,4500.00,142,false
11,8-8-5,2021-10-15T21:00,4500.00,220,false
12,07-14,2021-10-15T14:00,4000.00,284,false
12,05-25,2021-10-15T17:00,4000.00,265,false
12,29-31,2021-10-15T21:00,4000.00,139,false
